"Step","Historylen4 - Episode_Reward/payload_2_target","Historylen4 - Episode_Reward/payload_2_target__MIN","Historylen4 - Episode_Reward/payload_2_target__MAX"
"1","-0.000006193190984049579","-0.000006193190984049579","-0.000006193190984049579"
"2","-0.00015444941527675837","-0.00015444941527675837","-0.00015444941527675837"
"3","-5.266512062007678e-7","-5.266512062007678e-7","-5.266512062007678e-7"
"4","-0.0005385296535678208","-0.0005385296535678208","-0.0005385296535678208"
"6","-0.0008281107875518501","-0.0008281107875518501","-0.0008281107875518501"
"8","-0.0018703693058341742","-0.0018703693058341742","-0.0018703693058341742"
"9","-0.000016803016478661448","-0.000016803016478661448","-0.000016803016478661448"
"10","-0.0002769260900095105","-0.0002769260900095105","-0.0002769260900095105"
"11","-0.0001425741647835821","-0.0001425741647835821","-0.0001425741647835821"
"16","-0.0029793973080813885","-0.0029793973080813885","-0.0029793973080813885"
"18","-0.002540922723710537","-0.002540922723710537","-0.002540922723710537"
"19","0.00002166614831367042","0.00002166614831367042","0.00002166614831367042"
"20","-0.00031636934727430344","-0.00031636934727430344","-0.00031636934727430344"
"21","-0.000765161938033998","-0.000765161938033998","-0.000765161938033998"
"23","-0.0001326767960563302","-0.0001326767960563302","-0.0001326767960563302"
"24","-0.0026450660079717636","-0.0026450660079717636","-0.0026450660079717636"
"26","-0.0007686598692089319","-0.0007686598692089319","-0.0007686598692089319"
"31","-0.0017084977589547634","-0.0017084977589547634","-0.0017084977589547634"
"33","-0.001672995975241065","-0.001672995975241065","-0.001672995975241065"
"35","-0.0008524234290234745","-0.0008524234290234745","-0.0008524234290234745"
"36","-0.005944515578448772","-0.005944515578448772","-0.005944515578448772"
"38","-0.0049662599340081215","-0.0049662599340081215","-0.0049662599340081215"
"40","-0.01708877645432949","-0.01708877645432949","-0.01708877645432949"
"42","-0.006328205578029156","-0.006328205578029156","-0.006328205578029156"
"43","-0.03516250103712082","-0.03516250103712082","-0.03516250103712082"
"47","-0.14843980967998505","-0.14843980967998505","-0.14843980967998505"
"48","-0.07341635227203369","-0.07341635227203369","-0.07341635227203369"
"51","-0.14642930030822754","-0.14642930030822754","-0.14642930030822754"
"53","-0.10018648952245712","-0.10018648952245712","-0.10018648952245712"
"54","-0.1311318576335907","-0.1311318576335907","-0.1311318576335907"
"55","-0.08195078372955322","-0.08195078372955322","-0.08195078372955322"
"60","-0.15813705325126648","-0.15813705325126648","-0.15813705325126648"
"61","-0.18846669793128967","-0.18846669793128967","-0.18846669793128967"
"63","-0.21879099309444427","-0.21879099309444427","-0.21879099309444427"
"65","-0.3098382353782654","-0.3098382353782654","-0.3098382353782654"
